a	.ar	.elem	後接母音開頭之字時為 an
A.M.	.av	.elem	= a.m.= AM
abandon	.vb/.nn	.int	
abandoned	.aj	.hi	
abbey	.nn	.hi	
abbreviate	.vb	.hi	
abbreviation	.nn	.hi	
abdomen	.nn	.hi	
abide	.vb	.hi	
ability	.nn	.elem	
able	.aj	.elem	
abnormal	.aj	.int	
aboard	.pr/.av	.int	
abolish	.vb	.hi	
aboriginal	.aj/.nn	.hi	
aborigine	.nn	.hi	
abortion	.nn	.hi	
abound	.vb	.hi	
about	.pr/.av	.elem	
above	.pr/.av/.aj	.elem	
abroad	.av	.elem	
abrupt	.aj	.hi	
absence	.nn	.int	
absent	.aj	.elem	
absent-minded	.aj	.hi	
absolute	.aj/.nn	.int	
absolutely	.av	.int	
absorb	.vb	.int	
abstract	.aj/.nn	.int	抽象的，摘要
abstraction	.nn	.hi	
absurd	.aj/.nn	.hi	
abundance	.nn	.hi	
abundant	.aj	.hi	
abuse	.nn/.vb	.int	
academic	.aj	.int	
academy	.nn	.int	
accelerate	.vb	.hi	
acceleration	.nn	.hi	
accent	.nn	.int	
accept	.vb	.elem	
acceptable	.aj	.int	
acceptance	.nn	.int	
accepted	.aj	.int	
access	.nn/.vb	.int	
accessible	.aj	.hi	
accessory	.nn/.aj	.hi	
accident	.nn	.elem	
accidental	.aj	.int	
acclaim	.vb/.nn	.hi	
accommodate	.vb	.int	
accommodation	.nn	.int	
accompany	.vb	.int	
accomplish	.vb	.int	
accomplished	.aj	.hi	
accord	.vb/.nn	.int	
accordance	.nn	.hi	
accordingly	.av	.hi	
account	.nn/.vb	.int	
accountable	.aj	.hi	
accountant	.nn	.int	
accounting	.nn	.hi	
accumulate	.vb	.hi	
accumulation	.nn	.hi	
accuracy	.nn	.int	
accurate	.aj	.int	
accusation	.nn	.hi	
accuse	.vb	.int	
accustom	.vb	.hi	
accustomed	.aj	.int	
ace	.nn/.aj/.vb	.hi	
ache	.nn/.vb	.int	
achieve	.vb	.elem	
achievement	.nn	.int	
acid	.nn/.aj	.int	
acknowledge	.vb	.hi	
acne	.nn	.hi	
acoustic	.aj/.nn	.hi	
acquaint	.vb	.int	
acquaintance	.nn	.int	
acquire	.vb	.int	
acquisition	.nn	.hi	
acre	.nn	.int	
across	.pr/.av	.elem	
act	.nn/.vb	.elem	
acting	.nn/.aj	.hi	
action	.nn	.elem	
activate	.vb	.hi	
active	.aj	.elem	
activist	.nn	.hi	
activity	.nn	.elem	
actor	.nn	.elem	
actress	.nn	.elem	
actual	.aj	.int	
actually	.av	.elem	
acute	.aj/.nn	.hi	
ad	.nn	.hi	= advertisement
adapt	.vb	.int	
adaptation	.nn	.hi	
add	.vb	.elem	
addict	.nn	.hi	
