	 		註解
a	art.	elementary	後接母音開頭之字時為 an
A.M.	adv.	elementary	= a.m.= AM
abandon	verb/noun	intermediate	
abandoned	adj.	high-intermediate	
abbey	noun	high-intermediate	
abbreviate	verb	high-intermediate	
abbreviation	noun	high-intermediate	
abdomen	noun	high-intermediate	
abide	verb	high-intermediate	
ability	noun	elementary	
able	adj.	elementary	
abnormal	adj.	intermediate	
aboard	prep./adv.	intermediate	
abolish	verb	high-intermediate	
aboriginal	adj./noun	high-intermediate	
aborigine	noun	high-intermediate	
abortion	noun	high-intermediate	
abound	verb	high-intermediate	
about	prep./adv.	elementary	
above	prep./adv./adj.	elementary	
abroad	adv.	elementary	
abrupt	adj.	high-intermediate	
absence	noun	intermediate	
absent	adj.	elementary	
absent-minded	adj.	high-intermediate	
absolute	adj./noun	intermediate	
absolutely	adv.	intermediate	
absorb	verb	intermediate	
abstract	adj./noun	intermediate	抽象的，摘要
abstraction	noun	high-intermediate	
absurd	adj./noun	high-intermediate	
abundance	noun	high-intermediate	
abundant	adj.	high-intermediate	
abuse	noun/verb	intermediate	
academic	adj.	intermediate	
academy	noun	intermediate	
accelerate	verb	high-intermediate	
acceleration	noun	high-intermediate	
accent	noun	intermediate	
accept	verb	elementary	
acceptable	adj.	intermediate	
acceptance	noun	intermediate	
accepted	adj.	intermediate	
access	noun/verb	intermediate	
accessible	adj.	high-intermediate	
accessory	noun/adj.	High-Int	
accident	noun	elementary	
accidental	adj.	intermediate	
acclaim	verb/noun	high-intermediate	
accommodate	verb	intermediate	
accommodation	noun	intermediate	
accompany	verb	intermediate	
accomplish	verb	intermediate	
accomplished	adj.	high-intermediate	
accord	verb/noun	intermediate	
accordance	noun	high-intermediate	
accordingly	adv.	high-intermediate	
account	noun/verb	intermediate	
accountable	adj.	high-intermediate	
accountant	noun	intermediate	
accounting	noun	high-intermediate	
accumulate	verb	high-intermediate	
accumulation	noun	high-intermediate	
accuracy	noun	intermediate	
accurate	adj.	intermediate	
accusation	noun	high-intermediate	
accuse	verb	intermediate	
accustom	verb	high-intermediate	
accustomed	adj.	intermediate	
ace	noun/adj./verb	high-intermediate	
ache	noun/verb	intermediate	
achieve	verb	elementary	
achievement	noun	intermediate	
acid	noun/adj.	intermediate	
acknowledge	verb	high-intermediate	
acne	noun	high-intermediate	
acoustic	adj./noun	high-intermediate	
acquaint	verb	intermediate	
acquaintance	noun	intermediate	
acquire	verb	intermediate	
acquisition	noun	high-intermediate	
acre	noun	intermediate	
across	prep./adv.	elementary	
act	noun/verb	elementary	
acting	noun/adj.	high-intermediate	
action	noun	elementary	
activate	verb	high-intermediate	
active	adj.	elementary	
activist	noun	high-intermediate	
activity	noun	elementary	
actor	noun	elementary	
actress	noun	elementary	
actual	adj.	intermediate	
actually	adv.	elementary	
acute	adj./noun	high-intermediate	
ad	noun	high-intermediate	= advertisement
adapt	verb	intermediate	
adaptation	noun	high-intermediate	
add	verb	elementary	
addict	noun	high-intermediate	
addicted	adj.	high-intermediate	
addiction	noun	high-intermediate	
addition	noun	elementary	
additional	adj.	intermediate	
additive	noun/adj.	high-intermediate	
address	noun	elementary	
adequate	adj.	intermediate	
adhere	verb	high-intermediate	
adjacent	adj.	high-intermediate	
adjective	noun	intermediate	= adj.
adjoin	verb	high-intermediate	
adjust	verb	intermediate	
adjustment	noun	high-intermediate	
administer	verb	high-intermediate	
administration	noun	intermediate	
administrative	adj.	high-intermediate	
administrator	noun	high-intermediate	
admirable	adj.	intermediate	
admiral	noun	high-intermediate	
admiration	noun	intermediate	
admire	verb	elementary	
admission	noun	intermediate	
admit	verb	elementary	
adolescence	noun	high-intermediate	
adolescent	adj./noun	high-intermediate	
adopt	verb	elementary	
adore	verb	high-intermediate	
adult	noun	elementary	
adulthood	noun	high-intermediate	
advance	noun/verb	elementary	
advanced	adj.	intermediate	
advancement	noun	high-intermediate	
advantage	noun	elementary	
advent	noun	high-intermediate	
adventure	noun	intermediate	
adverb	noun	high-intermediate	
adverse	adj.	high-intermediate	
advert	noun	high-intermediate	= ad, advertisement
advertise	verb	intermediate	= advertize
advertisement	noun	elementary	
advertiser	noun	high-intermediate	
advertising	noun	high-intermediate	
advice	noun	elementary	
advisable	adj.	high-intermediate	
advise	verb	elementary	
adviser	noun	intermediate	= advisor
advisory	adj./noun	high-intermediate	
advocate	verb/noun	high-intermediate	
aerial	adj./noun	high-intermediate	noun = antenna (American English)
